,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
556,4764778.424289793,0.0,4764778.424289793,0.0,7.0,9.0,1e-06,1.5,10000000.0,0.01568143838068045,138.0,1.0369185960459183e-08,0.14889642981751744,9.855854726191732e-09,0.9,299934.2195463947,2172599.4950829567
557,4981672.729725884,0.0,4981672.729725884,0.0,18.0,1.0,1e-06,1.5,10000000.0,0.00122181801827421,100.0,6.533438395691047e-08,0.12744507208695066,1.0705823826996535e-09,0.9,8090469.111052165,1112262.9679822195
558,4883010.197543716,4663517.2608009325,1663227.331882093,3221134.11315662,49.0,135.0,1e-06,1.5,10000000.0,0.01696465234034418,81.0,1.0550572822000043e-09,0.1686155887916109,3.71695581043557e-07,0.9,6944293.281991322,162905.11390833074
559,4846720.364648771,0.0,4846720.364648771,0.0,10.0,1.0,1e-06,1.5,10000000.0,0.010218642356748667,191.0,5.4368696521298636e-08,0.20034165648072047,1.158746687332983e-09,0.9,989961.1551981333,117713.32726355678
560,4742323.39068773,0.0,4742323.39068773,0.0,8.0,805.0,1e-06,1.5,10000000.0,0.017178440620809157,157.0,4.602595828461963e-09,0.13763324666278684,7.337215202400922e-07,0.9,468082.8396267669,712544.1633082321
561,4792501.922744166,0.0,4792501.922744166,0.0,2.0,9.0,1e-06,1.5,10000000.0,0.013833205150388914,180.0,5.0300979609212114e-08,0.294387231351574,2.8483648022652502e-08,0.9,155758.030558354,482413.63801955595
562,4789400.5221136175,0.0,4789400.5221136175,0.0,5.0,8.0,1e-06,1.5,10000000.0,0.014039965192425417,115.0,3.633170045401492e-08,0.18331505717165333,2.0077059943854488e-08,0.9,172496.5237264695,754682.2341100085
563,4982382.5472483905,0.0,4982382.5472483905,0.0,7.0,188.0,1e-06,1.5,10000000.0,0.0011744968501068323,170.0,5.093050680678518e-09,0.06747963652817075,1.295775592121751e-07,0.9,3702264.7592511987,138397.96391719254
564,4905938.5575526245,0.0,4905938.5575526245,0.0,13.0,2.0,1e-06,1.5,10000000.0,0.006270762829824918,144.0,2.445085491393737e-09,0.16338333594003393,1.449885495116509e-09,0.9,241088.46851472076,156372.83613508233
565,4974807.169812063,0.0,4974807.169812063,0.0,6.0,2.0,1e-06,1.5,10000000.0,0.0016795220125291168,88.0,7.705287345231935e-08,0.026229884130913417,4.777882465980437e-09,0.9,2504893.9831800014,781263.4132531789
566,4135643.092205609,0.0,4135643.092205609,0.0,17.0,1.0,1e-06,1.5,10000000.0,0.0576237938529593,195.0,2.279909283883274e-09,0.24451586569220735,1.3709235007202828e-09,0.9,553684.9747665385,369018.1726327889
567,4958257.215508436,0.0,4958257.215508435,0.0,12.0,26.0,1e-06,1.5,10000000.0,0.0027828522994325683,177.0,1.8557822810921065e-09,0.0304802140966675,2.8154445789052812e-08,0.9,138974.16383412134,2849588.558300492
568,0.0,0.0,0.0,0.0,1.0,62.0,1e-06,1.5,10000000.0,0.05822122771929061,175.0,4.889464075649917e-08,0.04544658889944847,2.525379135454935e-07,0.9,146322.40761189422,1153850.131495862
569,4853398.360052402,0.0,4853398.360052402,0.0,6.0,6.0,1e-06,1.5,10000000.0,0.009773442663172939,70.0,1.2527140297511373e-08,0.2113982385974384,1.7054311059964227e-08,0.9,406048.1069925847,3700740.108927824
570,4949575.574398743,0.0,4949575.574398743,0.0,2.0,1.0,1e-06,1.5,10000000.0,0.0033616283734171056,164.0,3.870189688748758e-08,0.15341884078548382,3.164548373864492e-09,0.9,154944.1675178964,472291.16203362856
571,4975329.436258583,0.0,4975329.436258583,0.0,25.0,215.0,1e-06,1.5,10000000.0,0.001644704249427633,197.0,7.234506860342321e-08,0.12834665581588575,4.730747996674071e-08,0.9,2340563.9581443565,4084607.1982231755
