,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,absp,d,m,l,popinit,phageinit
838,98130.09687510291,0.0,0.0,98130.09687510291,1.0,1.0,0.0,1.6097581500462024,160932.81717318407,0.0017088859491268063,121.0,1.4105541348628404e-09,0.1220000202806275,0.0,0.1650619911571014,792274.6250832591,106457.42636482355
839,536860.612888886,19985298.83748109,0.0,536860.612888886,1.0,1.0,0.0,1.9273159010747167,737918.8248908541,0.001300983454201601,64.0,7.88521622520239e-09,0.2666955069716832,0.0,0.7887999427940822,1352287.1191706373,129297.71091341793
840,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7456584729254874,950778.0914542908,0.004792380674137981,137.0,3.814726671916668e-08,0.17800115391939356,0.0,0.19173956640367884,3830580.8962355955,3153371.281895669
841,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.762860427987337,18622857.654510207,0.005135727467248995,88.0,4.978072722099111e-09,0.17314057831691884,0.0,0.7695265840148373,429192.3240878268,774595.4112198974
842,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.330369584043897,43686784.01573149,0.04369711492524182,151.0,2.2568366594858876e-08,0.19555065010848138,0.0,0.8755686456559538,120076.22295836941,9665794.101793282
843,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.531253846019145,1609680.3953019993,0.0605232616806218,65.0,3.9992583485515125e-08,0.12908176853625689,0.0,0.022023936265676336,706615.7406888435,321625.31914934085
844,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.884557010509245,39821658.37861822,0.0030330803985493325,199.0,2.690443388130297e-08,0.11203218426611279,0.0,0.4494438799521536,7408403.2556401435,8743540.63139833
845,108845.47679785678,0.0,0.0,108845.47679785678,1.0,1.0,0.0,1.497819923118886,218644.27626110095,0.004048257023594245,69.0,1.843923562864784e-08,0.2725880318095576,0.0,0.7720904992809022,6612270.922151269,1515808.0223970972
846,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7943455122393868,61108001.39755639,0.0015594168553365493,184.0,7.1744566786898135e-09,0.055220080215212484,0.0,0.11585176002312447,2396915.462221908,6533135.19384564
847,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2584645351331751,22446947.05139543,0.03585223533729385,132.0,1.4123572785584565e-08,0.05481290319665424,0.0,0.682073662121648,899948.4071772445,228900.89017090897
848,274481.9188123534,64732768.22973661,0.0,274481.9188123534,1.0,1.0,0.0,1.9457250918190372,405176.56529532705,0.0015786148129264853,124.0,3.1690226965137686e-09,0.10699024995137664,0.0,0.7646266291595692,7401820.9639007645,2695392.4420744902
849,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3853663035546502,11181136.705313092,0.0133459751800392,78.0,4.010522633865691e-08,0.16965057104400688,0.0,0.9825401460533759,163202.5216923416,529591.8437393834
850,478019.24114544364,2.271397771921363,0.0,478019.24108854786,1.0,1.0,0.0,1.3399258075928664,1406245.8196317179,0.004874432362733513,90.0,1.2707322443650131e-09,0.06658701635776405,0.0,0.8942444047433138,7124840.8251042,156962.33426619653
851,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5399462151381367,2562131.670114591,0.0017226291009760518,63.0,3.966040664530107e-08,0.2178938452016563,0.0,0.8856827015666638,555074.3096046809,4366283.052048842
852,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.6429000934609235,41253090.53112669,0.09474379355050348,174.0,9.258744845713224e-08,0.23067126324079867,0.0,0.8857424339361817,5288593.340256264,691457.9176333245
853,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2515779073847426,3989346.395605053,0.018837075077132233,158.0,8.18871198374169e-09,0.22336754936292166,0.0,0.08400362252526938,4497571.35575876,134120.06010758976
854,386399.6057797706,0.0,0.0,386399.6057797706,1.0,1.0,0.0,1.5502949224547922,702168.2192851687,0.001943073823768619,94.0,6.711725173398148e-09,0.26323860647520336,0.0,0.43716097344623805,6178569.403536403,153914.53310490327
855,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2982381441513593,68594138.20343626,0.003226717609254229,125.0,5.423403751643151e-09,0.040616942234066665,0.0,0.8491949215177422,5997797.891380029,111745.3554849444
856,101275.29528736281,787994.6760951469,0.0,90888.28018475372,1.0,1.0,0.0,1.13660815747382,7116801.352778523,0.014351525683751198,88.0,8.18072499099623e-09,0.10040253078589365,0.0,0.8192365361395212,220061.77730798654,1106410.7834653077
857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4736635193346264,4594484.291462902,0.0061383774480946235,137.0,1.6798705272258976e-09,0.06013521638937392,0.0,0.6724297601439864,5935627.000853889,308547.26690991555
858,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9745724006772744,37194098.95074716,0.0579159900456414,75.0,6.745899437031067e-09,0.1601857855841988,0.0,0.7369595466951211,154274.73125951012,203241.8161056421
859,379160.77243939927,856.3766120320504,0.0,379160.71549718705,1.0,1.0,0.0,1.155041819325456,2445591.893334484,0.00127525488361022,198.0,1.474011917568603e-09,0.11889714856527145,0.0,0.39878413566817805,7980900.755595838,196655.21914126526
860,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.6749579447774994,14747228.02263739,0.022363211442642507,191.0,2.6135739044123332e-08,0.04922912993652404,0.0,0.26233632836526943,337269.57530108694,727934.1530846725
861,1405134.0201160784,100879015.5298917,0.0,1405134.0201160784,1.0,1.0,0.0,1.6838345179990164,2921386.965185911,0.01694540146793146,101.0,1.6476026985272339e-09,0.23151026033356714,0.0,0.8193558184886157,190213.6320553613,166841.25632581982
862,424336.5922814252,112626100.44973765,0.0,424336.5922814253,1.0,1.0,0.0,1.5853077690026405,1969041.031992934,0.002670414561093525,180.0,1.4105782986932858e-09,0.10714223792604151,0.0,0.4296008532506407,375232.30108887784,3189597.012460913
863,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.6026214935662595,41297783.15320718,0.05538219349604349,146.0,6.1571275473763885e-09,0.19368118136730422,0.0,0.9107078339109487,595840.5082268976,527689.5609809089
864,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9707366696084385,2951359.080453061,0.004090055931981485,106.0,6.477369178782062e-08,0.10671600055458845,0.0,0.14148685955414486,265517.3223426412,127757.13035439246
865,113438.3707521217,29926050.407842763,0.0,113438.3707521217,1.0,1.0,0.0,1.4262915568773562,627911.8284089222,0.0015058947934542995,144.0,2.8831451355613556e-09,0.04676947801525788,0.0,0.35126205675013744,180794.7196574734,242445.82501511296
866,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.982757466394494,8323640.687122295,0.002054426214404808,73.0,4.788127572348022e-08,0.26917955614973144,0.0,0.6965852643564223,9793167.174905274,597673.8665976411
